ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
13,65,27.72,56.11,1,1,32.5,13.85,86.15,58.46,12.31,6.15,0,0,4.62,0,1.54,6.15,7.69,7.69,15.38,3.08,9.23,4.62,18.46,7.69,4.62,0,0,6.15,10.77,0,10.77,0,3.08,1.54,6.15,0,0,0,0,12.31,0,4.62,6.15,3.08,0,4.62,0,0,0,0,3.08,0,1.54,0,1.54,10.77,0,1.54,6.15,1.54,1.54,0,10.77,6.15,6.15,0,6.15,0,0,0,0,0,1.54,4.62,0,0,0,0,0,0,3.08,1.54,0,0,0,0,1.54,0,0,0,0,0
14,11,80.14,18.16,31.94,25.77,11,9.09,63.64,45.45,0,0,0,0,0,0,0,0,9.09,9.09,9.09,0,9.09,9.09,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,18.18,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
16,31,97.44,37.35,39.18,1.23,7.75,16.13,80.65,58.06,6.45,6.45,0,0,3.23,0,3.23,0,16.13,16.13,9.68,0,3.23,6.45,12.9,3.23,3.23,0,0,3.23,9.68,3.23,6.45,0,0,0,6.45,0,0,0,0,16.13,0,0,9.68,6.45,0,6.45,0,0,0,0,0,0,0,0,0,9.68,0,0,9.68,0,0,0,6.45,0,22.58,0,22.58,0,0,0,0,0,0,3.23,0,0,0,0,0,0,12.9,12.9,0,0,0,0,0,0,0,0,0,0
17,40,45.59,89.42,7.84,1,13.33,12.5,72.5,42.5,10,10,2.5,2.5,0,0,5,0,0,12.5,7.5,5,10,2.5,20,0,0,0,0,2.5,5,0,5,0,0,0,15,0,0,0,0,10,2.5,2.5,5,0,0,0,0,0,0,0,5,0,5,0,0,7.5,2.5,0,5,0,0,0,15,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,5,0,0,0,0,5,0,0,0,0,2.5
18,7,29.3,7.67,89.63,1,7,0,85.71,71.43,14.29,14.29,0,0,14.29,0,0,0,14.29,14.29,14.29,0,0,28.57,14.29,0,0,0,0,0,14.29,0,14.29,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0
19,26,54.88,77.92,5.76,1,6.5,3.85,80.77,50,7.69,7.69,0,7.69,0,0,0,0,7.69,7.69,15.38,3.85,0,7.69,26.92,0,0,0,3.85,0,7.69,0,7.69,0,0,0,11.54,0,0,0,0,19.23,7.69,3.85,7.69,0,0,3.85,0,0,0,0,3.85,0,3.85,0,0,11.54,7.69,0,3.85,0,0,0,19.23,3.85,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0
20,20,52.71,30.86,1,1,20,10,70,40,5,5,5,0,0,0,0,0,0,10,5,0,15,5,20,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,20,5,5,10,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0,15,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
21,2,1,1,1,25.77,2,50,100,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,1,4.8,1,1,6,33.33,83.33,66.67,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,16.67,16.67,16.67,0,0,0,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,16.67,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0
25,42,41.91,59.4,37.24,1,21,2.38,88.1,61.9,11.9,11.9,2.38,2.38,0,0,7.14,0,9.52,9.52,16.67,0,9.52,4.76,21.43,0,0,0,2.38,2.38,7.14,0,7.14,0,0,2.38,11.9,0,0,0,0,14.29,4.76,2.38,4.76,2.38,2.38,4.76,2.38,0,0,2.38,2.38,0,0,0,2.38,9.52,2.38,0,4.76,2.38,0,0,14.29,4.76,11.9,2.38,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,4.76,0,0,0,0,0,0,0,0,0,2.38
